Afiseaza toti angajatii,2020-04-30 17:10:41.009
Afiseaza toate rezervarile in ordinea adaugarii,2020-04-30 17:10:41.87
Afiseaza toate serviciile,2020-04-30 17:10:42.857
Genereaza raport casieri,2020-04-30 17:10:44.742
Genereaza raport mecanici,2020-04-30 17:10:47.144
Genereaza raport servicii mecanica,2020-04-30 17:10:49.428
Afiseaza toti angajatii,2020-05-01 11:36:41.044
Afiseaza toate serviciile,2020-05-01 11:36:45.438
Afiseaza toate rezervarile in ordinea adaugarii,2020-05-01 11:36:50.372
Afiseaza toti angajatii sortati dupa nume,2020-05-01 11:36:57.569
Afiseaza rezervarile in ordinea datei,2020-05-01 11:37:31.619
Afiseaza toate rezervarile in ordinea adaugarii,2020-05-01 11:37:41.883
Afiseaza rezervarile in ordinea datei,2020-05-01 11:37:44.99
Afiseaza toate rezervarile in ordinea adaugarii,2020-05-01 11:37:54.144
Afiseaza rezervarile in ordinea datei,2020-05-01 11:37:55.888
Adauga un angajat,2020-05-01 11:38:02.839
Adauga un angajat,2020-05-01 11:38:28.95
Adauga un angajat,2020-05-01 11:38:55.921
Sterge un angajat,2020-05-01 11:39:10.88
Afiseaza toti angajatii,2020-05-01 11:39:18.608
Sterge un angajat,2020-05-01 11:39:30.65
Afiseaza toti angajatii,2020-05-01 11:39:37.068
Adauga o rezervare,2020-05-01 11:39:43.961
Sterge o rezervare,2020-05-01 11:40:22.121
Afiseaza managerul firmei,2020-05-01 11:40:32.761
Afiseaza informatii cu privire la service,2020-05-01 11:40:34.334
Genereaza raport rezervari,2020-05-01 11:40:36.449
Genereaza raport mecanici,2020-05-01 11:40:37.879
Genereaza raport casieri,2020-05-01 11:40:39.423
Genereaza raport servicii mecanica,2020-05-01 11:40:41.109
Genereaza raport servicii tinichigerie,2020-05-01 11:40:42.459
Genereaza raport servicii vulcanizare,2020-05-01 11:40:44.039
Iesire,2020-05-01 11:40:45.996


Iesire,2020-05-19 19:27:48.641
Iesire,2020-05-19 19:54:53.446
Iesire,2020-05-19 19:57:29.983
Genereaza raport servicii vulcanizare,2020-05-19 20:00:40.011
Iesire,2020-05-19 20:08:14.123
Iesire,2020-05-19 20:08:37.814
Iesire,2020-05-19 20:09:11.117
Iesire,2020-05-19 20:20:29.493
Iesire,2020-05-19 20:31:11.558
Iesire,2020-05-19 20:33:32.522
Iesire,2020-05-19 20:34:07.503
Iesire,2020-05-19 20:37:49.532
Iesire,2020-05-19 20:44:53.26
Iesire,2020-05-20 09:48:24.316
Iesire,2020-05-20 09:48:43.605
Iesire,2020-05-20 09:55:25.812
Iesire,2020-05-20 09:56:05.98
Iesire,2020-05-20 10:06:13.312
Iesire,2020-05-20 10:06:51.722
Iesire,2020-05-20 10:12:43.395
Iesire,2020-05-20 10:13:13.064
Afiseaza toti angajatii,2020-05-20 10:13:33.372
Iesire,2020-05-20 10:16:32.308
Iesire,2020-05-20 10:24:13.436
Iesire,2020-05-20 12:22:25.481
Iesire,2020-05-20 13:56:30.879
null,2020-05-20 13:56:35.012
Iesire,2020-05-20 14:17:40.89
Iesire,2020-05-20 15:38:33.919
null,2020-05-20 15:39:02.789
Afiseaza toti angajatii,2020-05-20 15:46:22.092
Afiseaza toate serviciile,2020-05-20 15:46:27.193
Afiseaza toti angajatii sortati dupa nume,2020-05-20 15:46:40.864
null,2020-05-20 15:46:49.294
Afiseaza toti angajatii,2020-05-20 15:50:42.22
Iesire,2020-05-20 15:50:43.845
Afiseaza rezervarile in ordinea datei,2020-05-20 15:51:01.262
Adauga un angajat,2020-05-20 18:51:13.208
Adauga un angajat,2020-05-20 18:56:12.443
Adauga un angajat,2020-05-20 18:57:14.043
null,2020-05-20 18:58:07.658
Iesire,2020-05-20 18:58:11.218
Adauga un angajat,2020-05-20 18:58:43.025
Adauga un angajat,2020-05-20 19:01:23.292
Iesire,2020-05-20 19:06:58.529
Adauga o rezervare,2020-05-20 19:16:48.913
Sterge un angajat,2020-05-21 17:43:16.217
Afiseaza toti angajatii,2020-05-27 17:20:34.001
Afiseaza toate serviciile,2020-05-27 17:20:54.62
Afiseaza toti angajatii,2020-05-27 17:23:39.897
Afiseaza toti angajatii,2020-05-27 17:24:58.358
Afiseaza toate serviciile,2020-05-27 17:25:05.43
Afiseaza toate rezervarile in ordinea adaugarii,2020-05-27 17:25:07.994
Sterge o rezervare,2020-05-27 17:25:16.231
Sterge un angajat,2020-05-27 17:25:25.334
Sterge un serviciu,2020-05-27 17:25:49.065
Iesire,2020-05-27 17:26:32.906
Actualizeaza salariu Angajat,2020-05-27 18:16:20.861
Actualizeaza salariu Angajat,2020-05-27 18:18:27.739
Afiseaza toti angajatii,2020-05-27 18:18:41.194
Iesire,2020-05-27 18:18:44.806
Actualizeaza salariu Angajat,2020-05-27 20:57:04.398
Afiseaza toti angajatii,2020-05-27 20:57:25.867
Iesire,2020-05-27 20:58:44.183
Afiseaza toti angajatii,2020-05-30 19:42:51.952
Afiseaza toate serviciile,2020-05-30 19:42:59.042
Afiseaza toate rezervarile in ordinea adaugarii,2020-05-30 19:42:59.884
Afiseaza toti angajatii,2020-05-30 21:01:31.483
Afiseaza toate serviciile,2020-05-30 21:01:32.975
Afiseaza toate rezervarile in ordinea adaugarii,2020-05-30 21:01:34.363
Afiseaza toti angajatii,2020-05-30 21:03:20.756
Afiseaza toate serviciile,2020-05-30 21:03:22.558
